state,date,income_mean,income_median
Johor,1970,237,NA
Johor,1974,382,269
Johor,1976,513,370
Johor,1979,731,518
Johor,1984,1065,793
Johor,1987,1060,816
Johor,1989,1150,880
Johor,1992,1713,1225
Johor,1995,2138,1610
Johor,1997,2772,2056
Johor,1999,2646,2012
Johor,2002,2963,2212
Johor,2004,3076,2325
Johor,2007,3457,2726
Johor,2009,3835,2958
Johor,2012,4658,3650
Johor,2014,6207,5197
Johor,2016,6928,5652
Johor,2019,8013,6427
Johor,2020,7264,5690
Johor,2022,8517,6879
Kedah,1970,189,NA
Kedah,1974,256,151
Kedah,1976,306,193
Kedah,1979,382,259
Kedah,1984,690,472
Kedah,1987,718,531
Kedah,1989,749,552
Kedah,1992,1048,758
Kedah,1995,1295,990
Kedah,1997,1590,1171
Kedah,1999,1612,1225
Kedah,2002,1966,1451
Kedah,2004,2126,1607
Kedah,2007,2408,1756
Kedah,2009,2667,1966
Kedah,2012,3425,2633
Kedah,2014,4478,3451
Kedah,2016,4971,3811
Kedah,2019,5522,4325
Kedah,2020,5005,3829
Kedah,2022,5550,4402
Kelantan,1970,151,NA
Kelantan,1974,231,108
Kelantan,1976,269,163
Kelantan,1979,341,256
Kelantan,1984,625,436
Kelantan,1987,667,482
Kelantan,1989,712,528
Kelantan,1992,907,632
Kelantan,1995,1091,789
Kelantan,1997,1249,872
Kelantan,1999,1314,946
Kelantan,2002,1674,1154
Kelantan,2004,1829,1258
Kelantan,2007,2143,1510
Kelantan,2009,2536,1713
Kelantan,2012,3168,2276
Kelantan,2014,3715,2716
Kelantan,2016,4214,3079
Kelantan,2019,4874,3563
Kelantan,2020,4411,3010
Kelantan,2022,4885,3614
Melaka,1970,265,NA
Melaka,1974,410,255
Melaka,1976,568,350
Melaka,1979,772,528
Melaka,1984,1040,738
Melaka,1987,1034,780
Melaka,1989,1084,828
Melaka,1992,1459,1118
Melaka,1995,1843,1391
Melaka,1997,2276,1793
Melaka,1999,2260,1715
Melaka,2002,2650,2051
Melaka,2004,2791,2308
Melaka,2007,3421,2717
Melaka,2009,4184,3005
Melaka,2012,4759,3923
Melaka,2014,6046,5029
Melaka,2016,6849,5588
Melaka,2019,7741,6054
Melaka,2020,7186,5447
Melaka,2022,8057,6210
Negeri Sembilan,1970,286,NA
Negeri Sembilan,1974,386,273
Negeri Sembilan,1976,505,348
Negeri Sembilan,1979,629,486
Negeri Sembilan,1984,1039,753
Negeri Sembilan,1987,908,674
Negeri Sembilan,1989,1083,842
Negeri Sembilan,1992,1380,987
Negeri Sembilan,1995,1767,1358
Negeri Sembilan,1997,2378,1731
Negeri Sembilan,1999,2335,1777
Negeri Sembilan,2002,2739,2080
Negeri Sembilan,2004,2886,2288
Negeri Sembilan,2007,3336,2556
Negeri Sembilan,2009,3540,2711
Negeri Sembilan,2012,4576,3575
Negeri Sembilan,2014,5271,4128
Negeri Sembilan,2016,5887,4579
Negeri Sembilan,2019,6707,5005
Negeri Sembilan,2020,6184,4478
Negeri Sembilan,2022,6788,5226
Pahang,1970,286,NA
Pahang,1974,305,210
Pahang,1976,477,324
Pahang,1979,702,481
Pahang,1984,960,731
Pahang,1987,900,697
Pahang,1989,961,764
Pahang,1992,1262,957
Pahang,1995,1436,1138
Pahang,1997,1632,1259
Pahang,1999,1482,1202
Pahang,2002,1991,1423
Pahang,2004,2410,1783
Pahang,2007,2995,2235
Pahang,2009,3279,2479
Pahang,2012,3745,3067
Pahang,2014,4343,3389
Pahang,2016,5012,3979
Pahang,2019,5667,4440
Pahang,2020,5144,4033
Pahang,2022,5777,4753
Perak,1970,254,NA
Perak,1974,305,213
Perak,1976,436,286
Perak,1979,559,394
Perak,1984,883,646
Perak,1987,863,659
Perak,1989,973,719
Perak,1992,1274,958
Perak,1995,1436,1102
Perak,1997,1940,1522
Perak,1999,1743,1350
Perak,2002,2153,1613
Perak,2004,2207,1732
Perak,2007,2545,1905
Perak,2009,2809,2094
Perak,2012,3548,2665
Perak,2014,4268,3451
Perak,2016,5065,4006
Perak,2019,5645,4273
Perak,2020,5081,3759
Perak,2022,5779,4494
Perlis,1970,140,NA
Perlis,1974,206,147
Perlis,1976,338,196
Perlis,1979,316,223
Perlis,1984,692,485
Perlis,1987,711,544
Perlis,1989,817,635
Perlis,1992,1040,761
Perlis,1995,1158,889
Perlis,1997,1507,1114
Perlis,1999,1431,1086
Perlis,2002,2006,1431
Perlis,2004,2046,1459
Perlis,2007,2541,1746
Perlis,2009,2617,1832
Perlis,2012,3538,2387
Perlis,2014,4445,3500
Perlis,2016,4998,4204
Perlis,2019,5476,4594
Perlis,2020,4971,4043
Perlis,2022,5664,4713
Pulau Pinang,1970,292,NA
Pulau Pinang,1974,471,241
Pulau Pinang,1976,589,363
Pulau Pinang,1979,840,534
Pulau Pinang,1984,1183,812
Pulau Pinang,1987,1130,833
Pulau Pinang,1989,1326,988
Pulau Pinang,1992,1821,1365
Pulau Pinang,1995,2225,1693
Pulau Pinang,1997,3130,2338
Pulau Pinang,1999,3128,2323
Pulau Pinang,2002,3496,2572
Pulau Pinang,2004,3531,2650
Pulau Pinang,2007,4004,2902
Pulau Pinang,2009,4407,3200
Pulau Pinang,2012,5055,4039
Pulau Pinang,2014,5993,4702
Pulau Pinang,2016,6771,5409
Pulau Pinang,2019,7774,6169
Pulau Pinang,2020,6850,5474
Pulau Pinang,2022,8267,6502
Sabah,1976,513,309
Sabah,1979,767,493
Sabah,1984,1212,749
Sabah,1987,1116,726
Sabah,1989,1264,863
Sabah,1992,1490,994
Sabah,1995,1647,1133
Sabah,1997,2057,1390
Sabah,1999,1905,1264
Sabah,2002,2406,1583
Sabah,2004,2487,1606
Sabah,2007,2837,1189
Sabah,2009,3102,2066
Sabah,2012,4013,2860
Sabah,2014,4879,3745
Sabah,2016,5354,4110
Sabah,2019,5745,4235
Sabah,2020,5215,3773
Sabah,2022,6171,4577
Sarawak,1976,426,260
Sarawak,1979,582,365
Sarawak,1984,1033,660
Sarawak,1987,1141,754
Sarawak,1989,1190,819
Sarawak,1992,1480,999
Sarawak,1995,1886,1305
Sarawak,1997,2242,1499
Sarawak,1999,2276,1667
Sarawak,2002,2515,1704
Sarawak,2004,2725,1804
Sarawak,2007,3349,2250
Sarawak,2009,3581,2394
Sarawak,2012,4293,3047
Sarawak,2014,4934,3778
Sarawak,2016,5387,4163
Sarawak,2019,5959,4544
Sarawak,2020,5087,3831
Sarawak,2022,6457,4978
Selangor,1970,421,NA
Selangor,1974,598,363
Selangor,1976,735,441
Selangor,1979,1067,647
Selangor,1984,1590,1010
Selangor,1987,1558,1049
Selangor,1989,1658,1145
Selangor,1992,2280,1572
Selangor,1995,3162,2255
Selangor,1997,4006,2850
Selangor,1999,3702,2750
Selangor,2002,4406,3144
Selangor,2004,5175,3588
Selangor,2007,5580,4046
Selangor,2009,5962,4306
Selangor,2012,7023,5353
Selangor,2014,8252,6214
Selangor,2016,9463,7225
Selangor,2019,10827,8210
Selangor,2020,9668,7300
Selangor,2022,12233,9983
Terengganu,1970,173,NA
Terengganu,1974,206,130
Terengganu,1976,339,199
Terengganu,1979,360,258
Terengganu,1984,756,524
Terengganu,1987,694,472
Terengganu,1989,759,520
Terengganu,1992,939,680
Terengganu,1995,1117,756
Terengganu,1997,1497,1026
Terengganu,1999,1599,1155
Terengganu,2002,1837,1331
Terengganu,2004,1984,1353
Terengganu,2007,2463,1796
Terengganu,2009,3017,2096
Terengganu,2012,3967,3034
Terengganu,2014,4816,3777
Terengganu,2016,5776,4694
Terengganu,2019,6815,5545
Terengganu,2020,6051,4790
Terengganu,2022,7248,5878
W.P. Kuala Lumpur,1976,1058,645
W.P. Kuala Lumpur,1984,1920,1217
W.P. Kuala Lumpur,1987,1790,1180
W.P. Kuala Lumpur,1989,1824,1294
W.P. Kuala Lumpur,1992,2429,1753
W.P. Kuala Lumpur,1995,3371,2321
W.P. Kuala Lumpur,1997,4768,3090
W.P. Kuala Lumpur,1999,4105,2828
W.P. Kuala Lumpur,2002,4930,3364
W.P. Kuala Lumpur,2004,5011,3336
W.P. Kuala Lumpur,2007,5322,3697
W.P. Kuala Lumpur,2009,5488,4409
W.P. Kuala Lumpur,2012,8586,5847
W.P. Kuala Lumpur,2014,10629,7620
W.P. Kuala Lumpur,2016,11692,9073
W.P. Kuala Lumpur,2019,13257,10549
W.P. Kuala Lumpur,2020,11728,9093
W.P. Kuala Lumpur,2022,13325,10234
W.P. Labuan,2007,3726,2777
W.P. Labuan,2009,4407,3498
W.P. Labuan,2012,6317,5063
W.P. Labuan,2014,7591,5684
W.P. Labuan,2016,8174,5928
W.P. Labuan,2019,8319,6726
W.P. Labuan,2020,7333,6126
W.P. Labuan,2022,8250,6904
W.P. Putrajaya,2007,5294,4288
W.P. Putrajaya,2009,6747,5450
W.P. Putrajaya,2012,8101,6486
W.P. Putrajaya,2014,10401,7512
W.P. Putrajaya,2016,11555,8275
W.P. Putrajaya,2019,12840,9983
W.P. Putrajaya,2020,12322,9743
W.P. Putrajaya,2022,13473,10056
