date,state,income_mean,income_median,expenditure_mean,gini,poverty
1/1/2022,Johor,8517,6879,5342,0.36646,4.6
1/1/2022,Kedah,5550,4402,3765,0.35938,9
1/1/2022,Kelantan,4885,3614,3505,0.3854,13.2
1/1/2022,Melaka,8057,6210,5707,0.36963,4.2
1/1/2022,Negeri Sembilan,6788,5226,4678,0.36853,4.4
1/1/2022,Pahang,5777,4753,4107,0.3077,6.3
1/1/2022,Pulau Pinang,8267,6502,5322,0.37058,2
1/1/2022,Perak,5779,4494,3903,0.36769,7.5
1/1/2022,Perlis,5664,4713,3834,0.33589,4
1/1/2022,Selangor,12233,9983,6770,0.36123,1.5
1/1/2022,Terengganu,7248,5878,4796,0.32631,6.2
1/1/2022,Sabah,6171,4577,3342,0.39491,19.7
1/1/2022,Sarawak,6457,4978,3915,0.3818,10.8
1/1/2022,W.P. Kuala Lumpur,13325,10234,7823,0.3796,1.4
1/1/2022,W.P. Labuan,8250,6904,4176,0.30028,2.5
1/1/2022,W.P. Putrajaya,13473,10056,8897,0.3678,0.1
