Country Name,Country Code,2022
Aruba,ABW,74.992
Africa Eastern and Southern,AFE,62.89903065
Afghanistan,AFG,62.879
Africa Western and Central,AFW,57.62617616
Angola,AGO,61.929
Albania,ALB,76.833
Andorra,AND,
Arab World,ARB,71.22727445
United Arab Emirates,ARE,79.196
Argentina,ARG,76.064
Armenia,ARM,73.372
American Samoa,ASM,
Antigua and Barbuda,ATG,79.236
Australia,AUS,83.2
Austria,AUT,81.09268293
Azerbaijan,AZE,73.488
Burundi,BDI,61.977
Belgium,BEL,81.69756098
Benin,BEN,59.954
Burkina Faso,BFA,59.766
Bangladesh,BGD,73.698
Bulgaria,BGR,74.36097561
Bahrain,BHR,79.246
"Bahamas, The",BHS,74.358
Bosnia and Herzegovina,BIH,75.293
Belarus,BLR,73.11146341
Belize,BLZ,70.962
Bermuda,BMU,81.571
Bolivia,BOL,64.928
Brazil,BRA,73.425
Barbados,BRB,77.706
Brunei Darussalam,BRN,74.551
Bhutan,BTN,72.229
Botswana,BWA,65.913
Central African Republic,CAF,54.477
Canada,CAN,81.29560976
Central Europe and the Baltics,CEB,76.79008321
Switzerland,CHE,83.45365854
Channel Islands,CHI,81.583
Chile,CHL,79.519
China,CHN,78.587
Cote d'Ivoire,CIV,58.916
Cameroon,CMR,60.958
"Congo, Dem. Rep.",COD,59.743
"Congo, Rep.",COG,63.053
Colombia,COL,73.659
Comoros,COM,63.68
Cabo Verde,CPV,74.722
Costa Rica,CRI,77.32
Caribbean small states,CSS,71.03467709
Cuba,CUB,78.155
Curacao,CUW,
Cayman Islands,CYM,
Cyprus,CYP,81.889
Czechia,CZE,79.02926829
Germany,DEU,80.70560976
Djibouti,DJI,62.859
Dominica,DMA,72.981
Denmark,DNK,81.30487805
Dominican Republic,DOM,74.17
Algeria,DZA,77.129
East Asia & Pacific (excluding high income),EAP,76.17851158
Early-demographic dividend,EAR,69.31643747
East Asia & Pacific,EAS,76.90204606
Europe & Central Asia (excluding high income),ECA,74.10651394
Europe & Central Asia,ECS,77.8413187
Ecuador,ECU,77.894
"Egypt, Arab Rep.",EGY,70.159
Euro area,EMU,81.70138411
Eritrea,ERI,66.604
Spain,ESP,83.08292683
Estonia,EST,77.94390244
Ethiopia,ETH,65.645
European Union,EUU,80.80262111
Fragile and conflict affected situations,FCS,61.7925883
Finland,FIN,81.18780488
Fiji,FJI,68.312
France,FRA,82.22926829
Faroe Islands,FRO,83.3
"Micronesia, Fed. Sts.",FSM,70.925
Gabon,GAB,65.694
United Kingdom,GBR,82.05853659
Georgia,GEO,71.587
Ghana,GHA,63.945
Gibraltar,GIB,82.83
Guinea,GIN,58.985
"Gambia, The",GMB,62.906
Guinea-Bissau,GNB,59.861
Equatorial Guinea,GNQ,61.19
Greece,GRC,80.63658537
Grenada,GRD,75.335
Greenland,GRL,71.5404878
Guatemala,GTM,68.674
Guam,GUM,78.33
Guyana,GUY,65.989
High income,HIC,79.50211315
"Hong Kong SAR, China",HKG,83.66097561
Honduras,HND,70.728
Heavily indebted poor countries (HIPC),HPC,62.84324626
Croatia,HRV,77.57560976
Haiti,HTI,63.728
Hungary,HUN,76.01707317
IBRD only,IBD,72.93504646
IDA & IBRD total,IBT,70.51191054
IDA total,IDA,64.04892352
IDA blend,IDB,61.28382244
Indonesia,IDN,68.25
IDA only,IDX,65.41607449
Isle of Man,IMN,80.762
India,IND,67.744
Not classified,INX,
Ireland,IRL,83.05609756
"Iran, Islamic Rep.",IRN,74.556
Iraq,IRQ,71.336
Iceland,ISL,82.17073171
Israel,ISR,82.7
Italy,ITA,82.9
Jamaica,JAM,70.629
Jordan,JOR,74.215
Japan,JPN,83.99634146
Kazakhstan,KAZ,74.44
Kenya,KEN,62.055
Kyrgyz Republic,KGZ,72.04878049
Cambodia,KHM,69.896
Kiribati,KIR,67.661
St. Kitts and Nevis,KNA,72.027
"Korea, Rep.",KOR,82.6804878
Kuwait,KWT,80.264
Latin America & Caribbean (excluding high income),LAC,73.61244588
Lao PDR,LAO,68.999
Lebanon,LBN,74.416
Liberia,LBR,61.1
Libya,LBY,72.151
St. Lucia,LCA,71.294
Latin America & Caribbean,LCN,73.75256853
Least developed countries: UN classification,LDC,64.92257858
Low income,LIC,63.01131039
Liechtenstein,LIE,84.3195122
Sri Lanka,LKA,76.61
Lower middle income,LMC,67.19697949
Low & middle income,LMY,70.39558704
Lesotho,LSO,53.036
Late-demographic dividend,LTE,77.09815468
Lithuania,LTU,75.79268293
Luxembourg,LUX,83.04634146
Latvia,LVA,74.5804878
"Macao SAR, China",MAC,85.377
St. Martin (French part),MAF,80.55
Morocco,MAR,74.973
Monaco,MCO,
Moldova,MDA,68.621
Madagascar,MDG,65.23
Maldives,MDV,80.839
Middle East & North Africa,MEA,73.21126325
Mexico,MEX,74.832
Marshall Islands,MHL,65.146
Middle income,MIC,71.28790437
North Macedonia,MKD,74.42487805
Mali,MLI,59.417
Malta,MLT,82.7
Myanmar,MMR,67.256
Middle East & North Africa (excluding high income),MNA,72.29705086
Montenegro,MNE,76.18780488
Mongolia,MNG,72.667
Northern Mariana Islands,MNP,
Mozambique,MOZ,59.625
Mauritania,MRT,64.691
Mauritius,MUS,73.51463415
Malawi,MWI,62.898
Malaysia,MYS,76.26
North America,NAC,77.8387537
Namibia,NAM,58.059
New Caledonia,NCL,80.98207317
Niger,NER,62.08
Nigeria,NGA,53.633
Nicaragua,NIC,74.615
